{'loss': 1.3685, 'learning_rate': 1.8594617189587515e-05, 'epoch': 0.59}
{'loss': 2.231, 'learning_rate': 1.8550053929480202e-05, 'epoch': 0.6}
{'loss': 3.8803, 'learning_rate': 1.8504850267433278e-05, 'epoch': 0.61}
{'loss': 1.83, 'learning_rate': 1.8459009589216364e-05, 'epoch': 0.62}
{'loss': 2.4275, 'learning_rate': 1.8412535328311813e-05, 'epoch': 0.62}
{'loss': 2.2767, 'learning_rate': 1.8365430965657527e-05, 'epoch': 0.63}
{'loss': 2.9029, 'learning_rate': 1.8317700029386245e-05, 'epoch': 0.64}
{'loss': 1.8815, 'learning_rate': 1.826934609456129e-05, 'epoch': 0.65}
{'loss': 1.9823, 'learning_rate': 1.8220372782908778e-05, 'epoch': 0.66}
{'loss': 1.6886, 'learning_rate': 1.8170783762546363e-05, 'epoch': 0.66}
{'loss': 1.1536, 'learning_rate': 1.8120582747708503e-05, 'epoch': 0.67}
{'loss': 1.0476, 'learning_rate': 1.8069773498468224e-05, 'epoch': 0.68}
{'loss': 1.0464, 'learning_rate': 1.8018359820455535e-05, 'epoch': 0.69}
{'loss': 1.8231, 'learning_rate': 1.796634556457236e-05, 'epoch': 0.7}
{'loss': 1.9517, 'learning_rate': 1.791373462670411e-05, 'epoch': 0.7}
{'loss': 1.3473, 'learning_rate': 1.7860530947427878e-05, 'epoch': 0.71}
{'loss': 1.3419, 'learning_rate': 1.780673851171728e-05, 'epoch': 0.72}
{'loss': 1.4252, 'learning_rate': 1.7752361348644012e-05, 'epoch': 0.73}
{'loss': 1.8108, 'learning_rate': 1.769740353107602e-05, 'epoch': 0.74}
{'loss': 1.8846, 'learning_rate': 1.7641869175372493e-05, 'epoch': 0.74}
{'loss': 1.4095, 'learning_rate': 1.7585762441075504e-05, 'epoch': 0.75}
{'loss': 1.8166, 'learning_rate': 1.752908753059849e-05, 'epoch': 0.76}
{'loss': 2.3191, 'learning_rate': 1.7471848688911465e-05, 'epoch': 0.77}
{'loss': 1.3028, 'learning_rate': 1.7414050203223092e-05, 'epoch': 0.78}
{'loss': 2.3315, 'learning_rate': 1.735569640265955e-05, 'epoch': 0.78}
{'loss': 1.8459, 'learning_rate': 1.72967916579403e-05, 'epoch': 0.79}
{'loss': 1.6252, 'learning_rate': 1.72373403810507e-05, 'epoch': 0.8}
